id,试卷名称,试题简介,words
303,章末复习,"(临沂中考)下列四幅图片与其对应的说法,正确的是()",章末 复习 临沂 中考 下列 四幅 图片 与其 对应 说法 正确
304,09月30日物理课堂练习202改练声音的特性,"8个相同的玻璃瓶中灌入不同高度的水,仔细调节水的高度。敲击它们,就可以发出“1,2,3,4,5,6,7,”...",09 30 物理 课堂练习 202 改练 声音 特性 相同 玻璃瓶 灌入 不同 高度 仔细 调节 高度 敲击 它们 可以 发出 ...
305,09月30日物理课堂练习202改练声音的特性,"如图所示,蝴蝶飞行时翅膀振动的频率为5~6 Hz,蜜蜂飞行时翅膀振动的频率为300~500 Hz.当它们从你的身后飞过...",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 蝴蝶 飞行 翅膀 振动 频率 hz 蜜蜂 飞行 翅膀 振动 频率 300 500 hz 它们 身后 飞过 ...
306,09月30日物理课堂练习202改练声音的特性,"用大小不同的力先后敲击同一个音叉,比较音叉两次发出的声音,下列说法中正确的是()",09 30 物理 课堂练习 202 改练 声音 特性 大小 不同 先后 敲击 同一个 音叉 比较 音叉 两次 发出 声音 下列 说法 正确
307,09月30日物理课堂练习202改练声音的特性,"如图所示,将一把钢尺压在桌面上,一部分伸出桌面,用手拨动其伸出桌外的一端,轻拨与重拨钢尺,则钢尺发出声音...",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 一把 钢尺 压在 桌面上 一部分 伸出 桌面 用手 拨动 伸出 桌外 一端 轻拨 重拨 钢尺 钢尺 发出声音 ...
308,09月30日物理课堂练习202改练声音的特性,"如图是普通的医学听诊器,它能将声音集中在胶管中传播,这样做减少了声音的分散,增大了声音的_______,这比直...",09 30 物理 课堂练习 202 改练 声音 特性 如图 普通 医学 听诊器 声音 集中 胶管 传播 这样 减少 声音 分散 增大 声音 _______ 这比直 ...
309,09月30日物理课堂练习202改练声音的特性,"如图所示,四个相同玻璃瓶里装水,水面高度不同,主要是为了在敲击不同水瓶时改变发出声音的  ;如果能分别敲击...",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 四个 相同 玻璃瓶 装水 水面 高度 不同 主要 为了 敲击 不同 水瓶 改变 发出声音 如果 分别 敲击 ...
310,09月30日物理课堂练习202改练声音的特性,"(随州中考)据图分析,下列说法正确的是()",09 30 物理 课堂练习 202 改练 声音 特性 随州 中考 据图 分析 下列 说法 正确
311,09月30日物理课堂练习202改练声音的特性,"小梦在探究声音高低与物体振动快慢的关系时,将钢尺的一端伸出桌面,用手拨动使其上下振动发出声音.如图所示,...",09 30 物理 课堂练习 202 改练 声音 特性 小梦 探究 声音 高低 物体 振动 快慢 关系 钢尺 一端 伸出 桌面 用手 拨动 上下 振动 发出声音 如图所示 ...
312,09月30日物理课堂练习202改练声音的特性,"如图所示,小明把钢尺紧按在桌面上,一端伸出桌面,拨动钢尺,听它发出的声音,同时注意钢尺振动的快慢,改变钢尺...",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 小明 钢尺 桌面上 一端 伸出 桌面 拨动 钢尺 发出 声音 同时 注意 钢尺 振动 快慢 改变 钢尺 ...
313,09月30日物理课堂练习202改练声音的特性,"如图所示同学们自制一件小乐器,在8个相同的透明玻璃瓶中装有不同高度的水,用同样大小的力敲击8个玻璃瓶,会...",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 同学 自制 一件 乐器 相同 透明 玻璃瓶 装有 不同 高度 同样 大小 敲击 玻璃瓶 ...
314,09月30日物理课堂练习202改练声音的特性,"琴弦H比琴弦L每秒内振动次数多,推断此时H比L发出的声音()",09 30 物理 课堂练习 202 改练 声音 特性 琴弦 琴弦 每秒 振动 次数 推断 此时 发出 声音
315,09月30日物理课堂练习202改练声音的特性,"如图所示,用薄塑料片在甲、乙两把塑料梳子的齿上用同样的速度分别划一次,则()",09 30 物理 课堂练习 202 改练 声音 特性 如图所示 用薄 塑料片 两把 塑料 梳子 同样 速度 分别 一次
316,09月30日物理课堂练习202改练声音的特性,"(无锡中考)物理老师上课声音洪亮,大家听得很清楚,这里的“洪亮”是指声音的()",09 30 物理 课堂练习 202 改练 声音 特性 无锡 中考 物理 老师上课 声音洪亮 大家 听得 清楚 这里 洪亮 声音
317,第4节　噪声的危害和控制,"(南昌中考)“大妈广场舞,吵得我好辛苦”,说明健身的同时,也产生了噪声,为了共建和谐社会,社区委...",噪声 危害 控制 南昌 中考 大妈 广场 吵得 辛苦 说明 健身 同时 产生 噪声 为了 共建 和谐社会 社区 ...
318,第4节　噪声的危害和控制,"小张熟睡时被钢琴声惊醒,从环保角度讲此钢琴声是_______(填“乐音”或“噪声”);如图,...",噪声 危害 控制 小张 熟睡 钢琴 惊醒 环保 角度 讲此 钢琴 声是 _______ 乐音 噪声 如图 ...
319,第4节　噪声的危害和控制,"教室的楼道上张贴有如图所示的标志,倡导同学们不要大声喧哗,养成轻声讲话的文明习惯.从声音的特性分析,&ldq...",噪声 危害 控制 教室 楼道 张贴 如图所示 标志 倡导 同学 不要 大声 喧哗 养成 轻声 讲话 文明 习惯 声音 特性 分析 ldq ...
320,第4节　噪声的危害和控制,"刚下过的雪是新鲜蓬松的,它的表面有许多小气孔,当外界的声波传入小气孔时要发生反射,而气孔是内部大口径小,...",噪声 危害 控制 下过 新鲜 蓬松 表面 许多 气孔 外界 声波 传入 气孔 时要 发生 反射 气孔 内部 口径 ...
321,第4节　噪声的危害和控制,"小明和小强在家中探究比较材料的隔声性能实验. (1)他们选用手机作为声源,经过一番讨论,他们提出了下列两个...",噪声 危害 控制 小明 小强 家中 探究 比较 材料 隔声 性能 实验 他们 选用 手机 作为 声源 经过 一番 讨论 他们 提出 下列 两个 ...
322,章末复习,"在地球上做这样的实验:一人在一根较长的空心钢管的一端敲击一下,另一人在钢管的另一端耳朵贴近管口会听到两...",章末 复习 地球 这样 实验 一人 一根 较长 空心 钢管 一端 敲击 一下 另一人 钢管 另一端 耳朵 贴近 管口会 听到 ...
323,章末复习,"(昆明中考)清晨,一觉醒来,听到窗外各种鸟儿欢快的鸣叫,有经验的人能够从这些声音中分辨出雄鸡、喜鹊、画眉...",章末 复习 昆明 中考 清晨 觉醒 听到 窗外 各种 鸟儿 欢快 鸣叫 经验 能够 这些 声音 分辨 雄鸡 喜鹊 画眉 ...
324,章末复习,"(长春中考)2017年5月31日,位于长春市伊通河上的自由大桥在2 s内成功爆破.由于采用“微爆破”技术...",章末 复习 长春 中考 2017 31 位于 长春市 伊通河 自由 大桥 成功 爆破 由于 采用 爆破 技术 ...
325,章末复习,"(安徽中考)在音乐中,中音C调“1(do)”的频率是262 Hz,D调“1(do)”的频率是294 Hz,由...",章末 复习 安徽 中考 音乐 中音 do 频率 262 hz do 频率 294 hz ...
326,章末复习,"(贵阳中考)为治理城市汽车乱鸣笛的违法现象,贵阳市交管局亮出新招:将声呐监控设备固定在道路旁,当接收到汽...",章末 复习 贵阳 中考 治理 城市 汽车 鸣笛 违法 现象 贵阳市 交管局 出新招 声呐 监控 设备 固定 路旁 接收 到汽 ...
327,章末复习,"《挑战不可能》中辨音神童刘浩听力惊人,挑战人类对声音的极致分辨;在节目现场,大小相同的玻璃杯中盛有不同...",章末 复习 挑战 可能 辨音 神童 刘浩 听力 惊人 挑战 人类 声音 极致 分辨 节目 现场 大小 相同 玻璃杯 中盛 不同 ...
328,章末复习,"环保部门常在噪声较大的街头设置噪声监测仪,噪声监测仪_______(填“具有”或“不具有&rdquo...",章末 复习 环保部门 常在 噪声 较大 街头 设置 噪声 监测仪 噪声 监测仪 _______ 具有 具有 rdquo ...
329,章末复习,"在学习二胡演奏过程中,小明发现琴弦发出声音的音调高低受各种因素的影响,他决定对此进行研究,经过和同学们...",章末 复习 学习 二胡 演奏 过程 小明 发现 琴弦 发出声音 音调 高低 各种因素 影响 决定 对此 进行 研究 经过 同学 ...
330,章末复习,"一艘潜艇静止在水面下,其正前方4.1 km处有一不明潜艇驶来.已知声呐系统发出超声波后,经过5.4 s听到回声.海...",章末 复习 一艘 潜艇 静止 水面 正前方 4.1 km 处有 不明 潜艇 驶来 已知 声呐 系统 发出 超声波 经过 5.4 听到 回声 ...
331,20年10月10日物理练习,"在二胡表演时,表演者在用弓拉动琴弦的同时,不断用手指去控制琴弦的长度,这样做是为了改变声音 的  .",20 10 10 物理 练习 二胡 表演 表演者 拉动 琴弦 同时 不断 手指 控制 琴弦 长度 这样 为了 改变 声音
332,20年10月10日物理练习,"如图所示,四个相同玻璃瓶里装水,水面高度不同,主要是为了在敲击不同水瓶时改变发出声音的  ;如果能分别敲击...",20 10 10 物理 练习 如图所示 四个 相同 玻璃瓶 装水 水面 高度 不同 主要 为了 敲击 不同 水瓶 改变 发出声音 如果 分别 敲击 ...
333,20年10月10日物理练习,"(昆明中考)清晨,一觉醒来,听到窗外各种鸟儿欢快的鸣叫,有经验的人能够从这些声音中分辨出雄鸡、喜鹊、画眉...",20 10 10 物理 练习 昆明 中考 清晨 觉醒 听到 窗外 各种 鸟儿 欢快 鸣叫 经验 能够 这些 声音 分辨 雄鸡 喜鹊 画眉 ...
334,20年10月10日物理练习,"在学习二胡演奏过程中,小明发现琴弦发出声音的音调高低受各种因素的影响,他决定对此进行研究,经过和同学们...",20 10 10 物理 练习 学习 二胡 演奏 过程 小明 发现 琴弦 发出声音 音调 高低 各种因素 影响 决定 对此 进行 研究 经过 同学 ...
335,20年10月10日物理练习,"在如图所示的斜面上测量小车运动的平均速度,让小车从斜面的 A 点由静止开始下滑,分别测出小车到 达B 点和C ...",20 10 10 物理 练习 如图所示 斜面 测量 小车 运动 平均速度 小车 斜面 静止 开始 下滑 分别 测出 小车 ...
336,20年10月10日物理练习,"公园里正在进行庆“六一”文艺汇演,小朋友的欢呼声传遍整个公园,这反映了声音(填“响度&rdq...",20 10 10 物理 练习 公园 正在 进行 六一 文艺 汇演 小朋友 欢呼声 传遍 整个 公园 反映 声音 响度 rdq ...
337,20年10月10日物理练习,"控制噪声污染是“打造卫生城市,建设春城昆明”的重要举措.居民小区禁止汽车鸣笛是从减 弱噪声;城...",20 10 10 物理 练习 控制 噪声污染 打造 卫生城市 建设 春城 昆明 重要 举措 居民小区 禁止 汽车 鸣笛 是从 噪声 ...
338,20年10月10日物理练习,"小枫同学有一次上学迟到了,走到教室门外就听到教室里有敲桌子的声音, 这是根据声音的来判断的;走进教室里,...",20 10 10 物理 练习 小枫 同学 一次 上学 迟到 教室 门外 听到 教室 桌子 声音 这是 根据 声音 判断 走进 教室 ...
339,20年10月10日物理练习,"如图是普通的医学听诊器,它能将声音集中在胶管中传播,这样做减少了声音的分散,增大了声音的_______,这比直...",20 10 10 物理 练习 如图 普通 医学 听诊器 声音 集中 胶管 传播 这样 减少 声音 分散 增大 声音 _______ 这比直 ...
340,20年10月10日物理练习,"在地球上做这样的实验:一人在一根较长的空心钢管的一端敲击一下,另一人在钢管的另一端耳朵贴近管口会听到两...",20 10 10 物理 练习 地球 这样 实验 一人 一根 较长 空心 钢管 一端 敲击 一下 另一人 钢管 另一端 耳朵 贴近 管口会 听到 ...
341,20年10月10日物理练习,"小夏在研究口琴的发声原理时,拆掉了口琴外壳,发现在气孔边分布着长短、厚 薄都不同的一排铜片(如图所示).吹...",20 10 10 物理 练习 小夏 研究 口琴 发声 原理 拆掉 口琴 外壳 发现 气孔 分布 长短 不同 一排 铜片 如图所示 ...
342,20年10月10日物理练习,"星期天,小明在练小提琴之前需要调整琴弦的松紧程度,他这样做的目的是改变琴声的.悠扬 的琴声吵醒了正在熟睡...",20 10 10 物理 练习 星期天 小明 小提琴 之前 需要 调整 琴弦 松紧 程度 这样 目的 改变 琴声 悠扬 琴声 吵醒 正在 熟睡 ...
343,20年10月10日物理练习,"蔡甸地铁线从蔡甸柏林至黄金口,全长16公里,设站9座,其中7个地下站,2个高架站.计划于2018年 底建成,2019年上...",20 10 10 物理 练习 蔡甸 地铁线 蔡甸 柏林 黄金 全长 16 公里 设站 其中 地下 高架 计划 2018 建成 2019 ...
344,20年10月10日物理练习,"甲、乙两物体都做直线运动,通过的路程之比是3∶1,所用的时间之比是2∶3,则甲、乙两物体运动的平均速度之比...",20 10 10 物理 练习 物体 直线运动 通过 路程 所用 时间 物体 运动 平均速度 之比 ...
345,20年10月10日物理练习,"在如图所示的斜面上测量小车运动的平均速度.让小车从斜面的 A 点由静止开始下滑,分别测出小车到 达B 点和C ...",20 10 10 物理 练习 如图所示 斜面 测量 小车 运动 平均速度 小车 斜面 静止 开始 下滑 分别 测出 小车 ...
346,20年10月10日物理练习,"古诗云:“姑苏城外寒山寺,夜半钟声到客船.”在古代,人们常用撞钟报时,人们发现:停止了对大钟的撞...",20 10 10 物理 练习 古诗 姑苏 城外 寒山寺 夜半钟声 客船 古代 人们 常用 撞钟 报时 人们 发现 停止 大钟 ...
347,20年10月10日物理练习,"一辆正在高速公路上行驶的汽车,其速度表如图所示,指针显示汽车速度为  km/h,合  m/s.",20 10 10 物理 练习 一辆 正在 高速公路 行驶 汽车 速度表 如图所示 指针 显示 汽车 速度 km
348,-,(17武汉)下列事例中利用声传递能量的是(   ),17 武汉 下列 事例 利用 传递 能量
349,-,"(2015•武汉)关于声现象,下列说法正确的是(  )",2015 武汉 关于 现象 下列 说法 正确
350,-,"(2011武汉中考)如图所示,将一把钢尺紧按在桌面上,一端伸出桌边,拨动钢尺,听它振动发出的声音。改变钢尺伸出...",2011 武汉 中考 如图所示 一把 钢尺 桌面上 一端 伸出 桌边 拨动 钢尺 振动 发出 声音 改变 钢尺 伸出 ...
351,20年10月10日物理练习,"(济南中考)2016年6月30日晚,《新年永恒》——建党95周年音乐会在北京人民大会堂举行,音乐会上,男中音放声独...",20 10 10 物理 练习 济南 中考 2016 30 日晚 新年 永恒 建党 95 周年 音乐会 北京人民大会堂 举行 音乐会 男中音 放声 ...
352,20年10月10日物理练习,"下列估测的数据中,最接近实际的是( )",20 10 10 物理 练习 下列 估测 数据 接近 实际
353,-,(2009武汉中考)下列措施属于在传播过程中减弱噪声的是  (   ),2009 武汉 中考 下列 措施 属于 传播 过程 减弱 噪声
354,-,"(2014武汉四月)下列四幅图中,关于声现象的描述正确的是",2014 武汉 四月 下列 四幅 图中 关于 现象 描述 正确
355,-,"(2012武汉元月)几位同学想计算闪电发生的位置到他们的距离,下列几种方案中误差最小的是",2012 武汉 元月 几位 同学 计算 闪电 发生 位置 他们 距离 下列 几种 方案 误差 最小
356,-,下列与声现象有关的说法中错误的是(  ),下列 现象 有关 说法 错误
357,-,"如图,是三种乐器的波形图,则下列说法正确的是(     )",如图 三种 乐器 波形图 下列 说法 正确
358,20年10月10日物理练习,"如图所示的现象可知，发声的鼓面和扬声器都在,由于鼓面发声时，现象不明显，所以我们在鼓面和扬声器上都放...",20 10 10 物理 练习 如图所示 现象 可知 发声 鼓面 扬声器 由于 鼓面 发声 现象 明显 所以 我们 鼓面 扬声器 ...
359,20年10月10日物理练习,控制噪声的基本方法是:①防止噪声的产生;②阻止噪声的传播;③防止噪声传入耳朵.以下措施中属于 方法①的是;...,20 10 10 物理 练习 控制 噪声 基本 方法 防止 噪声 产生 阻止 噪声 传播 防止 噪声 传入 耳朵 以下 措施 属于 方法 ...
360,20年10月10日物理练习,"小提琴声是通过琴弓与琴弦的摩擦使琴弦振动(如图所示),琴弦将振动传递给木质的琴码和琴箱,再使琴箱内的空气...",20 10 10 物理 练习 小提琴 声是 通过 琴弓 琴弦 摩擦 琴弦 振动 如图所示 琴弦 振动 传递 木质 琴码 琴箱 使琴 箱内 空气 ...
361,-,"(2010武汉中考)下图中,施工人员正在为紧邻居民区的轻轨轨道安装全封闭的隔音屏,尽量将列车产生的噪声降低到...",2010 武汉 中考 下图 施工人员 正在 紧邻 居民区 轻轨 轨道 安装 全封闭 隔音 尽量 列车 产生 噪声 降低 ...
362,-,"如图,是三种乐器的波形图,则下列说法正确的是(     )",如图 三种 乐器 波形图 下列 说法 正确
363,-,(2010武汉四月)下列措施中可在传播过程中控制噪声的是  (   ),2010 武汉 四月 下列 措施 传播 过程 控制 噪声
364,-,"(2011武汉五月)如图所示,用一张硬卡片分别快拨和慢拨木梳的齿,听到卡片声音发生变化.这个实验用来探究  (  ...",2011 武汉 五月 如图所示 一张 卡片 分别 木梳 听到 卡片 声音 发生变化 这个 实验 用来 探究 ...
365,20年10月10日物理练习,"如图,在“测量平均速度”的实验中,提供的实验器材有:木板(长为120.0cm,底端有金属挡板)、小车(长...",20 10 10 物理 练习 如图 测量 平均速度 实验 提供 实验 器材 木板 长为 120.0 cm 底端 金属 挡板 小车 ...
366,20年10月10日物理练习,"星期天,小明在练小提琴之前需要调整琴弦的松紧程度,他这样做的目的是改变琴声的.悠扬 的琴声吵醒了正在熟睡...",20 10 10 物理 练习 星期天 小明 小提琴 之前 需要 调整 琴弦 松紧 程度 这样 目的 改变 琴声 悠扬 琴声 吵醒 正在 熟睡 ...
367,20年10月10日物理练习,"为使教室内的学生免受环境噪声的干扰,下列哪种方法是最不合理的( )",20 10 10 物理 练习 教室 学生 免受 环境噪声 干扰 下列 方法 不合理
368,20年10月10日物理练习,"“惊弓之鸟”讲的是魏国有一个有名的射箭能手叫更羸,有一天,他看见天上有一群 大雁从他们头上飞...",20 10 10 物理 练习 惊弓之鸟 魏国 一个 有名 射箭 能手 一天 看见 天上 一群 大雁 他们 头上 ...
369,20年10月10日物理练习,"以下事例,表明声可以传递信息的是(按顺序填序号);表明声可以传递能量的是. 1人们挑选瓷器时,总要敲击几下,...",20 10 10 物理 练习 以下 事例 表明 可以 传递信息 顺序 序号 表明 可以 传递 能量 人们 挑选 瓷器 敲击 几下 ...
370,20年10月10日物理练习,"一位同学用刻度尺5次测得某物体的长度分别是:10.42cm、10.21cm、10.43cm、10.44cm、10.43cm,这 些数据中,错...",20 10 10 物理 练习 一位 同学 刻度尺 次测 物体 长度 分别 10.42 cm 10.21 cm 10.43 cm 10.44 cm 10.43 cm 数据 ...
371,-,"如图所示,手机与音叉的位置保持不变。利用手机软件测出音叉发出的声音从30dB变为50dB.说明音叉振动的",如图所示 手机 音叉 位置 保持 不变 利用 手机软件 测出 音叉 发出 声音 30db 变为 50db 说明 音叉 振动
372,20年10月10日物理练习,"在一条长绳的一端系一个小铁块就做成了一个摆,要测出它摆动一个来回所用的时间(周期: T),方法是 :用秒表测...",20 10 10 物理 练习 一条 长绳 一端 一个 铁块 做成 一个 测出 摆动 一个 来回 所用 时间 周期 方法 秒表 ...
373,20年10月10日物理练习,"公园里正在进行庆“六一”文艺汇演,小朋友的欢呼声传遍整个公园,这反映了声音(填“响度&rdq...",20 10 10 物理 练习 公园 正在 进行 六一 文艺 汇演 小朋友 欢呼声 传遍 整个 公园 反映 声音 响度 rdq ...
374,20年10月10日物理练习,"如图所示,用薄塑料片在甲、乙两把塑料梳子的齿上用同样的速度分别划一次,则()",20 10 10 物理 练习 如图所示 用薄 塑料片 两把 塑料 梳子 同样 速度 分别 一次
375,20年10月10日物理练习,"如图,停表的读数是mins;",20 10 10 物理 练习 如图 停表 读数 mins
376,20年10月10日物理练习,"声既可以传递信息,也可以传递能量,利用超声波“B超”可以更准确地诊断人体内部的器官是否患病,这...",20 10 10 物理 练习 可以 传递信息 可以 传递 能量 利用 超声波 b超 可以 准确 诊断 人体 内部 器官 是否 患病 ...
377,20年10月10日物理练习,"(2019无锡)小明和小红从同一地点、沿同一直线,以大小相等的速度,同时向相反方向匀速行走,1min后 两人相距12...",20 10 10 物理 练习 2019 无锡 小明 和小红 同一 地点 同一 直线 大小 相等 速度 同时 相反 方向 匀速 行走 1min 两人 相距 12 ...
378,20年10月10日物理练习,"甲同学在一根足够长的注满水的水管的一端用石头敲击一次,乙同学在水管的另一端用耳朵贴着水管听声。乙同学...",20 10 10 物理 练习 同学 一根 足够 注满 水管 一端 石头 敲击 一次 同学 水管 另一端 耳朵 贴着 水管 听声 同学 ...
379,20年10月10日物理练习,"海洋动物质量越大,其叫声越有力而低沉,即响度较_______,音调较_______如图所示,甲、乙两曲线为科考船声呐系...",20 10 10 物理 练习 海洋 动物 质量 越大 叫声 有力 低沉 响度 _______ 音调 _______ 如图所示 曲线 科考船 声呐 ...
380,20年10月10日物理练习,"长沙福元路大桥东入口采用了全封闭的隔音措施,如图所示,该设施长175m,高7m.由隔音板组成,能 降噪20分贝左右...",20 10 10 物理 练习 长沙 福元路 大桥 入口 采用 全封闭 隔音 措施 如图所示 设施 175m 7m 隔音板 组成 降噪 20 分贝 左右 ...
381,20年10月10日物理练习,"关于“声速”,以下说法正确的是()",20 10 10 物理 练习 关于 声速 以下 说法 正确
382,20年10月10日物理练习,"一辆汽车在平直的公路上行驶了120km 的路程,前半段路程的平均速度为60km/h,后半段路程的平均 速度为40km/h....",20 10 10 物理 练习 一辆 汽车 平直 公路 行驶 120km 路程 前半段 路程 平均速度 60km 后半段 路程 平均 速度 40km ....
383,20年10月10日物理练习,"贝多芬是德国杰出的音乐家,维也纳古典乐派代表人物之一,世界音乐史上最伟大的作曲家之一.贝多芬56岁时听觉...",20 10 10 物理 练习 贝多芬 德国 杰出 音乐家 维也纳 古典 乐派 代表 人物 之一 世界 音乐史 伟大 作曲家 之一 贝多芬 56 听觉 ...
384,-,"关于图中的现象,下列分析正确的是(  )",关于 图中 现象 下列 分析 正确
385,20年10月10日物理练习,"小枫同学有一次上学迟到了,走到教室门外就听到教室里有敲桌子的声音, 这是根据声音的来判断的;走进教室里,...",20 10 10 物理 练习 小枫 同学 一次 上学 迟到 教室 门外 听到 教室 桌子 声音 这是 根据 声音 判断 走进 教室 ...
386,-,"如图所示是楼梯中的一部分,从A到B是长短不同的铁护栏.一位同学用一根小木棒迅速从B到A逐一敲过铁护栏栏杆,...",如图所示 楼梯 一部分 长短 不同 护栏 一位 同学 一根 木棒 迅速 逐一 敲过 护栏 栏杆 ...
387,-,"(18武汉)如图所示,在筷子上捆一些棉花,做一个活塞,用水蘸湿棉花后插入两端开口的竹管中,用嘴吹管的上端,可...",18 武汉 如图所示 筷子 一些 棉花 一个 活塞 用水 蘸湿 棉花 插入 两端 开口 竹管 吹管 上端 ...
388,-,"小明同学喜欢利用复读机进行英语听力训练,在音量不变的情况下,如果让复读机先正常播放一段录音,然后再快速...",小明 同学 喜欢 利用 复读机 进行 英语听力 训练 音量 不变 情况 如果 复读机 正常 播放 一段 录音 然后 快速 ...
389,-,"关于声的应用,下列说法错误的是(  )",关于 应用 下列 说法 错误
390,20年10月10日物理练习,"如图所示,一木块在水平面上运动时,在相等时间内连续拍摄4次“频闪”照片,频闪的时间间隔为0.02s....",20 10 10 物理 练习 如图所示 木块 水平 面上 运动 相等 时间 连续 拍摄 频闪 照片 频闪 时间 间隔 0.02 ....
391,-,"(2011武汉中考)如图所示,将一把钢尺紧按在桌面上,一端伸出桌边,拨动钢尺,听它振动发出的声音。改变钢尺伸出...",2011 武汉 中考 如图所示 一把 钢尺 桌面上 一端 伸出 桌边 拨动 钢尺 振动 发出 声音 改变 钢尺 伸出 ...
392,20年10月10日物理练习,"(无锡中考)小明想测量无锡地铁的运行速度.他测得地铁从堰桥站出发到达锡北运河站所用时间为2 min,在手机中...",20 10 10 物理 练习 无锡 中考 小明 测量 无锡 地铁 运行 速度 他测 地铁 堰桥 出发 到达 北运河 所用 时间 min 手机 ...
393,20年10月10日物理练习,"阅读下列材料,按要求完成后面提出的问题. 材料一:蝙蝠在黑暗中能自由地飞翔,用蜡封住其耳朵,虽然把它放在明...",20 10 10 物理 练习 阅读 下列 材料 要求 完成 后面 提出 问题 材料 蝙蝠 黑暗 自由 飞翔 用蜡 封住 耳朵 虽然 放在 ...
394,-,"(2012武汉四月)学生们正在教室内上课,为了减小校园外汽车的噪声干扰,下列措施可行的是",2012 武汉 四月 学生 正在 教室 上课 为了 减小 校园 汽车 噪声 干扰 下列 措施 可行
395,-,"(2010武汉中考)下图中,施工人员正在为紧邻居民区的轻轨轨道安装全封闭的隔音屏,尽量将列车产生的噪声降低到...",2010 武汉 中考 下图 施工人员 正在 紧邻 居民区 轻轨 轨道 安装 全封闭 隔音 尽量 列车 产生 噪声 降低 ...
396,-,"关于声的应用,下列说法错误的是(  )",关于 应用 下列 说法 错误
397,-,"(2012武汉元月)几位同学想计算闪电发生的位置到他们的距离,下列几种方案中误差最小的是",2012 武汉 元月 几位 同学 计算 闪电 发生 位置 他们 距离 下列 几种 方案 误差 最小
398,-,"在学校的运动会上,100m跑道的发令台上有一块“板子”,关于这块板子的作用,下列说法中正确的是(  ...",学校 运动会 100m 跑道 发令 台上 一块 板子 关于 这块 板子 作用 下列 说法 正确 ...
399,-,"(2014武汉四月)下列四幅图中,关于声现象的描述正确的是",2014 武汉 四月 下列 四幅 图中 关于 现象 描述 正确
400,-,"小明同学喜欢利用复读机进行英语听力训练,在音量不变的情况下,如果让复读机先正常播放一段录音,然后再快速...",小明 同学 喜欢 利用 复读机 进行 英语听力 训练 音量 不变 情况 如果 复读机 正常 播放 一段 录音 然后 快速 ...
401,-,(2014武汉中考)下列关于声的说法正确的是,2014 武汉 中考 下列 关于 说法 正确
402,-,"(2011武汉四月)如图所示,在学校的田径运动会上,小明看到发令枪旁边有一块圆形的档板,关于它的作用下列说法...",2011 武汉 四月 如图所示 学校 田径运动 会上 小明 看到 发令枪 旁边 一块 圆形 档板 关于 作用 下列 说法 ...
403,-,"(19武汉)关于声现象,下列说法错误的是",19 武汉 关于 现象 下列 说法 错误
404,-,(2009武汉中考)下列措施属于在传播过程中减弱噪声的是  (   ),2009 武汉 中考 下列 措施 属于 传播 过程 减弱 噪声
405,-,"如图所示,用悬挂着的乒乓球接触正在发声的音叉,乒乓球会多次被弹开.这个实验是用来探究(     )",如图所示 悬挂 乒乓球 接触 正在 发声 音叉 乒乓球 多次 弹开 这个 实验 用来 探究
406,-,(17武汉)下列事例中利用声传递能量的是(   ),17 武汉 下列 事例 利用 传递 能量
407,-,(2014武汉中考)下列关于声的说法正确的是,2014 武汉 中考 下列 关于 说法 正确
408,-,"通常,人们会从噪声的产生、传播及接收三个环节控制噪声,下列措施中,属于产生环节控制噪声的是",通常 人们 噪声 产生 传播 接收 三个 环节 控制 噪声 下列 措施 属于 产生 环节 控制 噪声
409,-,"为了使教室内的学生免受环境噪声的干扰,以下措施合理的是",为了 教室 学生 免受 环境噪声 干扰 以下 措施 合理
410,-,"关于声的应用,下列说法错误的是(  )",关于 应用 下列 说法 错误
411,-,"(2012武汉元月)几位同学想计算闪电发生的位置到他们的距离,下列几种方案中误差最小的是",2012 武汉 元月 几位 同学 计算 闪电 发生 位置 他们 距离 下列 几种 方案 误差 最小
412,-,"(2011武汉中考)如图所示,将一把钢尺紧按在桌面上,一端伸出桌边,拨动钢尺,听它振动发出的声音。改变钢尺伸出...",2011 武汉 中考 如图所示 一把 钢尺 桌面上 一端 伸出 桌边 拨动 钢尺 振动 发出 声音 改变 钢尺 伸出 ...
413,-,"小明同学喜欢利用复读机进行英语听力训练,在音量不变的情况下,如果让复读机先正常播放一段录音,然后再快速...",小明 同学 喜欢 利用 复读机 进行 英语听力 训练 音量 不变 情况 如果 复读机 正常 播放 一段 录音 然后 快速 ...
414,-,下列与声现象有关的说法中错误的是(  ),下列 现象 有关 说法 错误
415,-,(2010武汉四月)下列措施中可在传播过程中控制噪声的是  (   ),2010 武汉 四月 下列 措施 传播 过程 控制 噪声
416,-,"在学校的运动会上,100m跑道的发令台上有一块“板子”,关于这块板子的作用,下列说法中正确的是(  ...",学校 运动会 100m 跑道 发令 台上 一块 板子 关于 这块 板子 作用 下列 说法 正确 ...
417,-,"美国乔治梅森大学工程专业的两名学生Seth Robertson 和Viet Tran研究制造的声波灭火装置,如图所示,为消防灭...",美国 乔治 梅森 大学 工程 专业 两名 学生 seth robertson viet tran 研究 制造 声波 灭火 装置 如图所示 消防 ...
